PdfReaderActivity::loadPage overflows the ActivityManager stack because it allocates a full PdfPage scratch object on the stack for cache warm-up	proven
Moving the PdfPage scratch object off the stack eliminates the startup crash	proven
PdfCachedPageReader::close() must tolerate failed or missing opens because HalStorage still leaves a HalFile wrapper object after open failures	proven
Guarding PdfCachedPageReader::close() with file_.isOpen() prevents the HalFile::close assert after failed cache-page opens	proven
The direct host pdf_parser_host_test binary was stale, so earlier preview dumps did not reflect the current parser implementation	proven
The committed baseline ContentStream.cpp parser path passes the full host PDF parser suite, including esp32-c6_datasheet_en.pdf	proven
The local experimental ContentStream changes caused the esp32-c6 spacing regressions; the cache and stack fixes were not the source of that parser breakage	proven
Increasing PDF_MAX_TMP_RUNS only masked the experimental parser regression and is not needed on the passing parser baseline	proven
Deferring PDF cache metadata writes until after the first successful page parse reduces startup-path SD work while preserving cache behavior	needs further investigation
Removing redundant existence checks before SD open calls reduces repeated SdFat path work and keeps the startup path simpler	needs further investigation
Large/complex PDFs crash because PDF parsing allocates multiple large fixed buffers on task stack during getPage/content stream parsing	proven
Large/complex PDFs crash because PdfReaderActivity caches wrapped text/image artifacts without enough bounds for complex pages	needs further investigation
Large/complex PDFs crash because cache metadata/page cache SD operations leak handles or create excessive transient heap/file work	needs further investigation
Complex PDF parsing repeatedly allocates and frees a 32 KiB InflateReader history window for content/object stream decoding	proven
Using a shared static InflateReader history window removes the repeated 32 KiB streaming decode heap churn	proven
Large TJ arrays and long PDF string tokens can drive unnecessary parser heap growth before being capped into fixed PdfTextBlock storage	proven
Keeping the InflateReader history window as a static array prevents reclaiming that 32 KiB after leaving PDF reading	proven
Lazily allocating the shared InflateReader history window and releasing it from Pdf::close returns that 32 KiB after PDF exit	proven
ToUnicode CMap decode scratch buffers can move from permanent static storage to a retained heap workspace released on PDF close	proven
Pdf.cpp catalog/page object scratch buffers do not need permanent static storage and can become scoped locals	proven
Device crash at 0x4205c45a is stack overflow in PdfObject::readAt called from PdfOutlineParser::parse because outline scratch buffers were moved from static storage to stack locals	proven
Device crash at 0x42057244 is stack overflow in ContentStream::updateCurrentCidMapForFont/runContentOperators from remaining stack-heavy parser state	proven
Moving remaining ContentStream/Pdf object-body scratch buffers to scoped heap fixes the remaining ActivityManager stack overflow path	proven
InflateReader-owned uzlib_uncomp on caller stack is enough to overflow ActivityManager stack during PDF flate decode	proven
Moving uzlib_uncomp from InflateReader stack storage to scoped heap storage preserves parsing and removes the large decompressor state from caller stack	proven
The home-screen Loading popup is caused by HomeActivity synchronously generating missing recent-book thumbnails from EPUB/XTC files after the first render	proven
Persisted recent-book metadata already provides enough information for HomeActivity to render immediately without generating thumbnails on entry	proven
Deferring missing home-thumbnail generation until after the first visible EPUB/XTC page render preserves instant Home entry while still backfilling thumbnails on book open	proven
